"date","usage","dollars","type"
"12:00AM 30th May 2025","0.00 kWh","$0.08","actual"
"01:00AM 30th May 2025","0.00 kWh","$0.08","actual"
"02:00AM 30th May 2025","0.00 kWh","$0.08","actual"
"03:00AM 30th May 2025","0.00 kWh","$0.08","actual"
"04:00AM 30th May 2025","0.00 kWh","$0.08","actual"
"05:00AM 30th May 2025","0.66 kWh","$0.20","actual"
"06:00AM 30th May 2025","2.64 kWh","$0.56","actual"
"07:00AM 30th May 2025","3.02 kWh","$0.63","actual"
"08:00AM 30th May 2025","0.00 kWh","$0.08","actual"
"09:00AM 30th May 2025","0.49 kWh","$0.16","actual"
"10:00AM 30th May 2025","0.00 kWh","$0.08","actual"
"11:00AM 30th May 2025","6.19 kWh","$1.20","actual"
"12:00PM 30th May 2025","0.00 kWh","$0.08","actual"
"01:00PM 30th May 2025","0.00 kWh","$0.08","actual"
"02:00PM 30th May 2025","0.00 kWh","$0.08","actual"
"03:00PM 30th May 2025","0.00 kWh","$0.08","actual"
"04:00PM 30th May 2025","0.00 kWh","$0.08","actual"
"05:00PM 30th May 2025","0.00 kWh","$0.08","actual"
"06:00PM 30th May 2025","0.00 kWh","$0.08","actual"
"07:00PM 30th May 2025","0.00 kWh","$0.08","actual"
"08:00PM 30th May 2025","0.00 kWh","$0.08","actual"
"09:00PM 30th May 2025","0.00 kWh","$0.08","actual"
"10:00PM 30th May 2025","0.00 kWh","$0.08","actual"
"11:00PM 30th May 2025","0.00 kWh","$0.08","actual"
